도로명,총유동인구수,남성유동인구수,여성유동인구수
독산로108길,24,24,25
독산로40길,18,17,19
독산로50길,10,9,11
독산로64길,18,17,18
독산로70길,24,23,24
독산로78다길,25,24,26
독산로85길,17,17,17
돈화문로11가길,14,16,12
돌곶이로14길,25,24,26
돌곶이로22길,23,22,24
돌곶이로27길,26,25,27
돌곶이로28길,19,19,20
돌곶이로41길,17,16,18
돌곶이로8길,24,23,25
동광로12길,37,34,40
동광로1길,24,23,26
동광로39길,16,14,18
동교로17길,30,28,32
동교로19길,26,24,28
동교로25길,27,25,30
동교로27길,38,34,42
동교로38길,33,29,36
동남로20길,28,26,29
동남로65길,5,5,6
동남로82길,4,4,3
동남로85길,7,7,8
동산로10길,15,15,14
동산로19길,18,19,18
동소문로13길,36,32,39
동소문로15길,31,27,35
동소문로26가길,35,30,40
동소문로2길,21,19,23
동소문로6길,20,18,22
동일로100길,31,30,32
동일로101길,28,27,29
동일로112길,36,34,37
동일로123길,32,31,33
동일로130길,35,33,38
동일로139가길,27,26,29
동일로139길,20,19,21
동일로140길,26,25,28
동일로149길,19,18,20
동일로157길,42,39,45
동일로163길,26,25,28
동일로173가길,37,36,38
동일로18길,35,34,36
동일로192길,51,51,52
동일로242길,14,13,15
동일로24길,37,37,38
동작대로17길,31,29,33
동작대로29길,25,24,27
동작대로33길,37,35,39
동작대로35길,26,24,27
동작대로7길,43,41,45
동호로10길,33,31,35
동호로11길,19,18,20
동호로15길,25,23,26
동호로20길,24,24,25
동호로8길,25,23,26
두텁바위로1길,21,21,22
둘레9길,15,16,15
등용로14길,16,17,16
등촌로13길,25,23,28
등촌로39길,17,16,18
등촌로51길,19,17,20
등촌로55길,17,16,18
등촌로5길,25,23,27
디지털로27길,25,27,22
디지털로32가길,23,25,21
디지털로32길,25,27,23
디지털로37길,33,33,34
디지털로57길,33,33,34
디지털로74길,27,25,29
뚝섬로23길,36,34,37
뚝섬로24길,28,28,28
뚝섬로48길,30,28,32
뚝섬로54길,19,17,21
뚝섬로58길,22,21,24
뚝섬로5길,16,17,15
뚝섬로64길,14,14,15
마방로2길,12,13,12
마장로27길,21,20,22
마장로39길,14,14,14
마조로16길,17,16,17
마조로1길,18,17,19
마천로51길,25,24,26
마포대로12길,30,29,32
마포대로20길,27,26,29
마포대로4길,26,26,27
만리재옛길,38,36,41
만양로14길,25,27,23
만양로8길,34,36,33
망우로18가길,16,16,16
망우로18길,21,20,21
망우로21길,30,28,31
망우로68길,29,27,30
망우로73길,16,15,17
망원로11길,34,31,38
망원로2길,35,31,38
매봉길,20,18,22
매봉산로2길,12,12,12
면목로17길,28,27,29
면목로21길,24,23,25
면목로33길,29,28,31
면목로45길,31,29,32
면목로48길,31,29,32
면목로49길,32,30,34
면목로55길,25,23,26
면목로56길,30,29,32
면목로78길,43,40,46
명동길,26,27,24
명륜길,18,17,19
명일로13길,34,32,36
명지대길,30,29,32
모래내로15길,24,22,25
모래내로7길,20,18,22
목동남로4길,10,9,10
목동동로12길,27,25,29
목동동로8길,10,9,10
목동로19길,29,28,30
목동로9길,27,25,28
목동중앙남로3가길,31,29,33
목동중앙로13나길,3,3,3
목동중앙로3길,28,26,29
목동중앙본로7길,38,35,40
목동중앙북로16길,20,19,22
목동중앙북로8길,24,22,26
목동중앙서로7길,30,28,32
목동중앙서로8가길,18,16,19
무수막길,28,25,30
무학로16길,14,14,14
무학로45길,22,24,20
무학로6길,25,24,27
무학봉28길,23,21,24
무학봉길,28,25,32
문성로5길,24,24,25
미성5길,24,23,25
바우뫼로39길,18,19,18
반포대로9길,15,15,15
방배로18길,19,17,20
방배로35길,25,23,27
방배로42길,18,16,19
방배중앙로21길,25,23,26
방배천로4안길,24,23,26
방울내로9안길,31,28,34
방학로10길,20,19,21
방학로15길,11,10,12
방학로5길,30,29,32
방학로6가길,27,26,29
방화대로21길,15,15,15
방화대로6라길,8,9,8
백범로16길,34,33,35
백범로79길,31,28,33
백범로90길,27,26,27
백석동길,2,2,2
백제고분로21길,31,28,33
백제고분로22길,21,20,23
백제고분로31길,38,35,41
백제고분로32길,21,20,23
백제고분로33길,30,28,32
백제고분로34길,26,24,27
백제고분로39길,23,21,25
백제고분로42길,25,22,27
백제고분로45길,33,30,35
백제고분로46길,27,25,30
백제고분로50길,29,28,31
범안로11길,11,12,10
범안로17길,10,11,9
법원단지9길,28,26,29
법원단지길,26,24,27
벚꽃로56길,11,13,10
보국문로16길,18,17,19
보문로13길,30,29,31
보문로26길,24,22,27
보문로31길,32,29,35
보문로32길,35,30,41
복은길,28,30,25
봉우재로33길,33,31,35
봉은사로109길,13,12,13
봉은사로29길,34,35,33
봉은사로43길,32,33,32
봉은사로57길,21,21,21
봉은사로68길,21,22,20
봉천로13길,27,26,28
봉천로33길,41,38,43
봉화산로30길,35,32,38
봉화산로4길,29,28,30
봉화산로56길,32,30,35
부일로11길,10,9,10
부일로15길,10,9,10
부일로1길,4,4,4
북아현로4길,100,100,100
북촌로11길,6,6,6
북촌로5길,5,5,5
북촌로5나길,2,2,2
불광천길,44,40,48
사가정로13길,15,14,16
사가정로23가길,20,19,21
사가정로2길,24,23,25
사가정로42길,31,30,33
사가정로54길,36,34,37
사근동길,14,13,14
사당로16가길,29,26,31
사당로16길,35,32,38
사당로20길,29,27,31
사당로23길,16,14,17
사당로23나길,14,13,15
사당로26길,29,27,31
사당로29길,31,29,33
사당로2차길,13,12,14
사당로30길,25,23,26
사당로8길,30,27,32
사임당로17길,28,29,27
사평대로22길,16,15,18
사평대로26길,11,9,12
사평대로57길,32,32,31
삼각산로28길,41,38,43
삼선교로10길,26,24,28
삼선교로10다길,21,19,23
삼선교로16가길,20,18,22
삼성로115길,21,20,22
삼성로147길,21,19,23
삼성로57길,28,27,29
삼성로63길,34,34,35
삼성로64길,22,23,21
삼성로69길,36,36,36
삼성로75길,41,41,40
삼양로144길,11,9,12
삼양로20길,32,29,35
삼양로24길,37,34,40
삼양로27길,28,26,31
삼양로41길,40,37,42
삼양로54길,29,27,31
삼양로77길,26,24,28
삼양로8길,28,25,30
삼양로93길,30,27,33
삼일대로4길,17,19,15
삼전로13길,44,41,47
삼청로5길,3,3,3
상계로12길,52,47,57
상계로1길,37,35,39
상계로9가길,47,43,50
상도로15길,31,29,34
상도로37길,22,21,24
상도로47길,23,22,24
상도로61길,22,21,22
상도로62길,29,28,31
상암로14길,36,34,37
상암로4길,29,28,30
상암로51길,32,30,35
상암로5길,28,27,30
상원12길,13,14,13
상원길,21,22,21
상일로5길,6,6,6
새말로18길,15,15,15
서달로10길,24,22,26
서달로14길,19,18,20
서달로15길,19,19,20
서달로8가길,27,26,28
서림7길,24,28,20
서빙고로71길,7,7,7
서오릉로21길,21,19,23
서오릉로8길,35,31,38
서울숲2길,17,17,17
서울시립대로16길,33,32,35
서울시립대로29길,38,37,38
서울시립대로4길,29,28,31
서초대로15길,22,20,24
서초대로23길,23,21,24
서초대로25길,26,24,28
서초대로4길,31,28,34
서초대로64길,20,20,20
서초대로8길,19,17,21
서초중앙로8길,25,25,25
석계로1길,20,20,19
선릉로121길,29,29,29
선릉로132길,37,34,39
선릉로133길,28,28,29
선릉로146길,23,20,25
선릉로18길,4,4,4
선유로55길,13,13,12
선유서로24길,17,17,16
선유서로25길,12,12,12
선유서로28길,16,16,15
성균관로5길,19,17,20
성내로5길,46,43,50
성대로1길,24,22,26
성대로29길,28,25,30
성덕정17길,26,28,25
성덕정길,13,13,12
성미산로11길,23,21,25
성미산로1길,33,30,37
성미산로32길,26,23,29
성북로8길,15,14,17
성산로4길,28,25,30
성수이로18길,21,22,20
성수이로7길,17,19,16
성수일로6길,22,23,20
성안로3길,24,23,25
성지3길,17,16,18
세검정로1길,26,24,28
세무서2길,25,23,27
세무서길,30,27,33
소담길,34,34,34
소월로20길,18,17,19
솔매로41길,33,31,35
솔매로45길,22,20,23
솔매로50길,38,35,42
솔샘로65길,34,31,37
솔샘로6길,13,13,13
송이로23길,26,25,26
송이로32길,30,29,31
송이로36길,25,24,25
송정12라길,18,19,18
송정4가길,22,22,21
송파대로30길,25,25,24
수색로18길,7,8,7
수색로8길,17,16,18
수유로12길,37,35,39
숭문8길,20,19,22
숭문길,22,21,23
숭인동길,31,32,31
승방길,26,25,28
시루봉로23길,10,10,11
시흥대로120길,22,22,22
시흥대로138길,13,14,13
시흥대로141길,17,19,16
시흥대로150길,23,23,23
시흥대로153길,16,18,15
시흥대로22길,7,7,7
시흥대로36길,6,6,7
시흥대로62가길,22,21,23
시흥대로63길,11,11,11
시흥대로68길,25,24,26
시흥대로84길,22,21,23
시흥대로94길,21,21,21
신길로17길,24,23,25
신길로39길,30,29,31
신길로42가길,37,36,38
신길로42길,25,24,26
신길로60길,31,30,31
신내로7가길,28,25,30
신대방길,20,19,20
신도림로13길,10,10,11
신림동길,50,50,50
신림로11길,32,38,25
신림로28길,36,41,31
신림로38길,23,23,22
신림로48길,20,20,20
신림로64길,38,38,38
신림로65길,53,53,52
신목로2길,21,19,22
신목로5길,16,15,17
신목로6길,27,25,29
신반포로45길,26,26,25
신사로20길,22,21,23
신원로3길,44,43,45
신월로15길,27,26,29
신월로20길,21,20,21
신촌로12길,36,33,39
신촌로28가길,23,20,26
신촌로30길,24,21,26
신촌로37길,93,93,92
신흥로20길,17,16,18
아리랑로4길,38,33,44
아차산로11길,14,15,13
아차산로15길,23,24,22
아차산로40길,44,41,46
아차산로51길,25,24,26
아차산로55길,34,32,36
아차산로5길,20,21,19
아차산로65길,36,33,39
아차산로78길,12,11,12
안암로5길,27,27,27
암사길,58,55,62
압구정로2길,21,19,23
약령시로17길,25,25,26
양녕로26길,17,15,19
양녕로6길,45,42,48
양산길,19,20,18
양재대로101길,55,53,57
양재대로116길,31,29,33
양재대로124길,42,39,45
양재대로133길,56,53,60
양재대로62길,19,19,19
양재대로64길,28,28,29
양재대로71길,20,19,21
양재대로72길,17,16,19
양재대로91길,36,35,38
양재대로95길,49,46,51
양재대로96길,34,32,35
양지길,21,22,19
양천로14길,23,22,24
양천로24가길,22,21,23
양천로24길,23,22,24
양천로26길,9,8,9
양천로49길,5,6,5
양천로71길,23,22,25
양천로73가길,25,24,27
양평로19길,17,18,17
양평로22라길,9,10,9
양평로28길,7,7,6
양화로11길,28,26,30
양화로1길,23,20,26
양화진길,18,16,19
언남길,14,15,13
언주로81길,39,40,37
여의대방로22길,18,17,19
여의대방로22나길,14,13,14
여의대방로22카길,25,23,27
여의대방로24길,20,19,21
여의대방로35길,22,21,23
여의대방로39길,12,12,13
여의대방로43나길,25,24,26
여의대방로46길,16,16,17
여의대방로61길,14,15,14
역말로9길,38,33,43
연서로11길,33,29,36
연서로13길,33,29,37
연서로16길,41,37,46
연서로17길,33,29,36
연서로21길,34,31,38
연서로27길,57,52,62
연서로28길,46,42,49
연서로29길,41,38,44
연서로33길,23,22,25
연서로34길,26,24,28
연서로3길,32,29,35
연서로41길,24,23,25
연서로5길,36,33,40
연희로10길,14,14,15
영동대로112길,11,11,11
영동대로65길,25,26,23
영등포로25길,20,20,20
영등포로27길,23,23,23
영등포로35길,23,23,24
영등포로62길,21,21,21
영등포로80길,28,28,29
영등포로84길,29,28,29
영신로9길,31,30,32
오금로11길,38,37,39
오금로36길,22,21,23
오금로46길,28,26,30
오류로8길,19,18,20
오목로23길,32,30,33
오목로30길,33,32,35
오목로3길,25,24,26
오목로5길,28,27,30
오패산로19길,26,24,28
오패산로30길,25,23,28
오패산로3길,28,26,31
오패산로4길,33,30,36
오패산로52길,27,25,29
오패산로67길,39,37,40
옥인길,13,12,15
올림픽로48길,20,19,21
올림픽로71길,28,25,30
올림픽로77길,28,26,29
올림픽로78길,22,21,23
올림픽로80길,23,22,24
올림픽로98길,41,39,44
와우산로29가길,21,19,23
와우산로29길,23,21,26
와우산로3길,20,19,21
왕산로32길,19,18,19
왕산로33길,21,21,21
왕산로43길,29,28,30
왕십리로14길,25,25,24
왕십리로21길,28,25,30
왕십리로26길,31,29,33
왕십리로31길,25,23,28
왕십리로6길,27,27,26
용답29길,26,26,27
용답중앙길,18,17,18
용마산로100길,19,18,20
용마산로112길,21,20,23
용마산로118길,28,26,29
용마산로21길,34,32,37
용마산로3길,26,25,28
용마산로94길,17,17,18
우마길,22,23,20
우사단로10길,28,29,28
우사단로14길,20,20,19
우사단로4길,21,21,20
우이천로32길,19,17,21
우이천로4다길,25,23,27
우장산로6길,21,19,24
원신길,15,16,14
원효로19길,14,14,15
원효로41길,14,14,14
원효로53길,25,25,25
원효로89길,24,23,26
월드컵로10길,32,29,35
월드컵로11길,34,30,38
월드컵로16길,32,28,35
월드컵로19길,32,28,35
월드컵로25길,36,32,39
월드컵로36길,26,23,29
월드컵로7길,30,26,33
월드컵로8길,31,28,33
월정로20길,40,38,41
율곡로10길,9,10,7
율곡로16길,19,20,17
은천로25길,21,19,23
은평로10길,29,26,31
은평로13길,32,28,35
은평로20길,13,12,14
은평로3길,45,41,49
은평로8길,53,48,58
은행정로5길,18,18,19
은행정로7길,29,28,30
응암로12길,32,30,33
응암로13길,31,29,32
응암로14길,31,29,33
응암로1길,32,30,34
응암로22길,30,28,33
응암로34길,41,37,45
이문로42길,27,26,29
이촌로22길,7,7,7
이태원로27길,21,21,21
이태원로54길,13,13,13
이화장길,26,25,26
인수봉로56길,26,24,28
인수봉로72길,27,24,30
인수봉로79길,11,10,12
인촌로17가길,18,16,19
인촌로1길,34,31,38
인촌로24길,24,26,21
인촌로5길,28,25,32
인촌로6길,23,23,24
인헌길,23,21,25
일원로3길,21,20,21
일원로9길,19,19,20
자양로11길,42,39,45
자양로15길,37,35,39
자양로26길,39,36,41
자양로45길,28,25,31
자양로50길,26,24,28
자양로53길,32,29,35
자양번영로3길,28,27,30
자하문로7길,17,16,18
장군봉1길,33,33,34
장군봉2길,28,28,28
장문로45길,23,24,23
장승배기로10길,26,24,28
장승배기로19길,27,26,28
장승배기로27길,28,28,27
장월로1길,21,19,23
장위로50길,14,14,14
장충단로8길,20,20,21
장터길,25,23,27
장한로14길,16,16,16
장한로25길,24,23,24
장한로26가길,24,24,25
장한로26길,20,19,20
장한로27가길,23,23,24
장한로27길,25,24,25
장한로5길,27,27,26
장한로8길,21,21,20
전농로29길,32,31,33
전농로3길,33,30,35
전농로4길,29,28,30
정릉로26길,16,14,17
정릉로27길,32,29,34
정릉로8길,2,2,2
제기로21길,19,19,20
제기로5길,17,17,17
조원로10길,36,38,34
조원로18길,25,25,26
조원중앙로2길,28,28,29
종로24길,11,13,8
종로58가길,24,24,24
종로65길,41,40,41
종암로16길,29,27,32
종암로19길,23,21,26
종암로21길,20,19,22
종암로24가길,20,18,21
종암로5길,14,14,15
주흥15길,29,28,29
주흥길,31,31,31
중랑천로10길,27,26,28
중앙길,48,45,52
중앙로15길,16,15,17
중앙로1길,13,13,13
중앙로25길,16,16,17
중앙로32길,15,14,16
중앙로36길,16,16,16
중앙로45길,25,24,27
중앙로47길,23,22,23
중앙로51길,28,26,30
중앙로55길,27,25,28
증가로10길,31,29,33
증가로20가길,38,35,41
증가로23나길,50,45,54
증가로6길,31,29,33
증산로13길,29,28,31
증산로15길,19,18,19
증산로17길,24,23,25
증산로21길,44,41,47
증산로5길,14,13,15
증산로9길,16,15,17
증산서길,15,14,15
지봉로20길,25,24,27
지봉로8길,32,31,33
지양로7길,10,10,10
진황도로27길,57,54,60
진황도로47길,36,35,38
진흥로12길,41,38,45
진흥로1길,48,43,53
창경궁로35길,20,19,22
창경궁로43길,17,16,19
창신2길,30,29,31
창신5길,32,31,33
창신길,35,34,36
천장산로7길,12,12,12
천중로39길,53,50,56
천중로51길,44,40,47
천호대로109길,28,27,29
천호대로123길,31,28,33
천호대로129길,36,33,40
천호대로12길,15,15,14
천호대로162길,54,50,57
천호대로170길,59,56,62
천호대로17길,29,29,29
천호대로187길,37,35,39
천호대로197길,30,28,32
천호대로219길,5,5,5
천호대로45길,21,21,21
천호대로77길,19,19,18
천호대로97길,14,15,14
천호옛14길,42,39,46
천호옛길,49,45,53
청계천로10나길,15,15,15
청구로17길,28,27,29
청구로1길,25,23,27
청두곶길,27,25,30
청룡8길,36,35,36
청룡길,43,42,45
청림3길,29,28,31
청파로47길,21,17,25
청파로47나길,27,23,31
청파로71길,34,31,36
청파로73길,20,20,20
초록마을로3길,25,24,26
초록마을로8길,31,28,34
초원로16길,22,22,23
충정로4길,61,63,60
충정로6길,21,22,20
테헤란로81길,16,17,15
토정로37길,33,32,34
통일로11길,14,13,15
통일로12길,17,16,19
통일로37길,28,25,31
통일로39길,24,21,26
통일로69길,36,32,40
통일로78길,25,23,27
통일로87길,40,37,43
통일로92길,34,32,35
퇴계로12길,11,10,12
퇴계로18길,8,7,8
퇴계로46길,16,18,15
퇴계로56길,18,18,17
퇴계로8길,14,13,14
퇴계로90길,36,34,38
평창길,0,0,0
풍성로25길,35,32,38
풍성로37가길,52,48,55
필운대로1길,16,15,18
학동로38길,20,21,19
학동로56길,35,34,36
학동로6길,24,24,25
학동로77길,21,18,23
한강대로104길,19,19,19
한강대로15길,6,7,6
한강대로43길,12,13,11
한강대로52길,10,11,9
한강대로62길,11,12,10
한강대로7길,9,9,9
한강대로88길,7,7,7
한글비석로22길,23,22,25
한글비석로24길,36,33,38
한글비석로44길,31,29,33
한남대로20길,8,7,8
한림말3길,14,13,16
한림말길,13,12,15
한천로101가길,15,14,15
한천로109길,20,18,21
한천로124나길,32,30,33
한천로130길,33,31,34
한천로132길,41,39,43
한천로139가길,34,33,36
한천로140길,31,29,33
한천로14길,28,28,28
한천로33길,16,15,18
한천로40길,21,20,22
한천로46길,13,12,14
한천로76길,20,19,20
해등로16길,25,23,26
행운1길,45,43,47
행운길,45,43,47
호암로20길,44,52,37
호암로24길,47,55,39
홍연길,19,18,21
홍제내길,13,11,14
화곡로13길,22,21,23
화곡로20길,29,28,31
화곡로31길,34,31,37
화곡로3길,7,7,7
화곡로44나길,24,24,25
화곡로4길,11,11,11
화곡로59길,16,16,16
화곡로64길,22,21,23
화랑로13길,23,21,26
화랑로14길,22,20,24
화랑로19길,26,24,28
화랑로1길,34,31,36
화랑로32길,25,23,26
화랑로40길,18,18,18
회나무로13길,18,17,19
효령로23길,21,20,22
효령로31길,22,21,24
효령로34길,12,12,12
효령로72길,19,19,18
효창원로39길,24,23,26
효창원로93길,35,31,38
후암로28길,17,17,18
휘경로14길,33,31,34
휘경로23길,27,26,28
휘경로2길,28,26,29
휘경로3길,35,34,36
흑석로13길,20,19,20
흑석로9길,20,19,20
