도로명,살인,강도,강간/추행,절도,폭력,범죄발생건수
은천로33길,0,0.0,0.0,2.0,3.0,5
은천로39길,0,0.0,0.0,2.0,2.0,4
은천로5길,0,0.0,0.0,3.0,4.0,7
인헌12길,0,0.0,2.0,6.0,8.0,16
인헌16가길,0,0.0,0.0,2.0,3.0,5
인헌16다길,0,0.0,0.0,2.0,3.0,5
인헌6길,0,0.0,2.0,4.0,2.0,8
인헌9길,0,0.0,1.0,1.0,1.0,3
인헌길,0,0.0,0.0,8.0,0.0,8
장군봉8길,0,0.0,1.0,3.0,4.0,8
장군봉길,0,0.0,0.0,1.0,1.0,2
조원로11길,0,0.0,0.0,2.0,2.0,4
조원로13길,0,0.0,0.0,4.0,6.0,10
조원로14길,0,0.0,0.0,1.0,2.0,3
조원로16길,0,0.0,1.0,2.0,2.0,5
조원로2길,0,0.0,1.0,2.0,3.0,6
조원중앙로1길,0,0.0,0.0,0.0,1.0,1
청룡10길,0,0.0,0.0,5.0,6.0,11
청룡16길,0,0.0,0.0,1.0,0.0,1
청룡1길,0,0.0,1.0,3.0,1.0,5
청룡7길,0,0.0,0.0,3.0,3.0,6
청룡길,1,1.0,1.0,3.0,4.0,10
청림3길,0,0.0,0.0,11.0,4.0,15
청림5길,0,0.0,0.0,2.0,3.0,5
청림6길,0,0.0,0.0,9.0,2.0,11
행운10길,0,0.0,0.0,3.0,3.0,6
행운1마길,0,0.0,0.0,0.0,1.0,1
행운2길,0,1.0,2.0,4.0,2.0,9
호암로,0,0.0,1.0,11.0,11.0,23
호암로16길,0,0.0,0.0,2.0,3.0,5
